GiftId,TripId
97283,0
86310,0
8459,0
71231,0
44527,0
5636,0
4548,0
98929,0
54999,0
73561,0
53085,0
49916,0
23639,0
48942,0
3452,0
12748,0
81377,0
38663,0
24207,0
85695,0
75039,0
54542,0
39676,0
76593,0
958,0
75629,0
94515,0
21090,0
12765,0
77590,0
29101,0
30761,0
42354,0
93331,0
87543,0
22965,0
24172,0
8260,0
15589,0
19915,0
99222,0
44113,0
34970,0
51673,0
84381,0
68980,0
77192,0
34418,0
35276,0
10636,0
91290,0
88281,0
94006,0
41424,0
50636,0
39417,0
52066,0
57181,0
60799,0
19131,0
79356,0
70750,0
46433,0
37497,0
89545,0
81235,0
29061,0
89627,0
27675,0
16425,0
41932,0
81000,0
21927,0
30130,0
99458,0
73100,0
17918,0
27559,0
93978,0
99857,0
22321,0
51184,0
63829,0
45902,0
21382,0
80017,0
31326,0
75873,0
46086,1
17469,1
98417,1
48038,1
48116,1
4088,1
86671,1
21387,1
12614,1
58452,1
39909,1
95686,1
3644,1
2151,1
27247,1
3029,1
38272,1
3744,1
78472,1
93159,1
78049,1
68004,1
12544,1
22106,1
17822,1
35893,1
16880,1
74327,1
84343,1
46777,1
85599,1
76023,1
28252,1
79895,1
95933,1
13310,1
54505,1
35346,1
17447,1
99608,1
12556,1
19160,1
57829,1
93644,1
37121,1
82565,1
29377,1
25005,1
54979,1
94916,1
83006,1
40202,1
72438,1
51724,1
74333,1
42908,1
78651,1
19411,1
1359,1
60210,1
38077,1
67599,1
75206,1
429,1
89839,1
72759,1
93258,1
74910,1
25330,1
713,1
73338,1
6920,2
14479,2
57949,2
12561,2
82196,2
46833,2
3561,2
84960,2
43269,2
46992,2
50540,2
63876,2
33697,2
58974,2
48368,2
59342,2
30999,2
90345,2
67876,2
15206,2
68194,2
50805,2
96191,2
77361,2
33284,2
77404,2
12582,2
59656,2
89075,2
86343,2
10546,2
844,2
5761,2
43889,2
47141,2
13719,2
67412,2
90689,2
89964,2
44463,2
59511,2
46888,2
68961,2
658,2
76650,2
98362,2
36789,2
97200,2
23586,2
39087,2
28096,2
67891,2
46242,2
27218,2
66071,2
50624,2
41386,2
34287,2
38492,2
36092,2
76953,2
61045,2
25563,3
48651,3
22981,3
74589,3
63998,3
22082,3
77475,3
94773,3
2881,3
91766,3
50870,3
40619,3
65993,3
20667,3
29444,3
72143,3
61453,3
12446,3
34888,3
50030,3
74506,3
17716,3
6007,3
39093,3
54413,3
36960,3
44298,3
26346,3
36196,3
79072,3
10463,3
6082,3
55356,3
83667,3
47823,3
64366,3
59719,3
9336,3
72377,3
6673,3
68754,3
59193,3
72011,3
23865,3
3335,3
78792,3
98075,3
94700,3
81720,3
85801,3
11242,3
53932,3
34686,3
98300,3
51684,3
78606,3
45901,3
62711,3
24588,3
68996,3
96102,3
53572,3
277,3
10266,3
95631,3
38509,3
91567,3
66317,3
77529,3
47100,3
52614,3
53313,3
90713,3
4802,3
99633,3
19557,3
5784,3
71461,3
25612,3
43109,3
35903,4
97588,4
52708,4
17639,4
73449,4
60340,4
29651,4
75446,4
32489,4
24285,4
36530,4
13188,4
96559,4
49178,4
28722,4
46963,4
90549,4
10355,4
515,4
19613,4
15256,4
61912,4
72752,4
52933,4
55206,4
53569,4
99557,4
69523,4
12011,4
69293,4
40425,4
78229,4
44995,4
16955,4
17259,4
60155,4
14356,4
96735,4
20053,4
5795,4
83918,4
88745,4
70247,4
25079,4
71720,4
50998,4
77379,4
99350,4
65893,4
1160,4
33698,4
95680,4
24804,4
51069,4
19928,4
36783,4
28291,4
76243,4
32842,4
84472,4
4032,4
73103,4
34645,4
7739,4
3234,4
88639,4
19025,4
36265,4
65337,4
18160,4
25334,4
58298,4
34211,4
96756,4
47261,4
70255,4
47264,4
14129,4
75149,4
47387,4
66111,4
28,5
99384,5
76333,5
97424,5
29304,5
59904,5
46573,5
52668,5
75100,5
51147,5
38433,5
39380,5
32386,5
56974,5
28174,5
72840,5
99869,5
99105,5
14430,5
24064,5
80589,5
73202,5
59520,5
37016,5
62430,5
24159,5
31533,5
26995,5
91414,5
16225,5
88004,5
53942,5
23230,5
95137,5
51798,5
66931,5
79339,5
46837,5
70187,5
56644,5
28529,5
69781,5
17673,5
98675,5
69337,5
64271,5
69686,5
45044,5
11299,5
1552,5
55091,5
26457,5
82167,5
99741,5
30583,5
67791,5
62324,5
46874,5
81670,5
64856,5
66047,5
77672,5
40944,5
78142,5
68548,5
56703,5
43256,5
92666,5
99831,5
9017,5
23223,6
39270,6
19032,6
5939,6
74046,6
90858,6
54456,6
39462,6
65399,6
46817,6
28029,6
59115,6
98601,6
97060,6
99890,6
51894,6
56510,6
55521,6
60417,6
42418,6
15983,6
60480,6
30528,6
922,6
44075,6
80155,6
29033,6
57366,6
90720,6
69232,6
33695,6
64009,6
15072,6
26157,6
23741,6
47431,6
33621,6
93198,6
58086,6
61645,6
1968,6
44928,6
27520,6
17693,6
35521,6
19683,6
84783,6
77337,6
18290,6
41862,6
78186,6
63964,6
97829,6
49341,6
84914,6
71338,6
57931,6
49219,6
62074,6
49951,6
3376,6
66392,6
283,6
83376,6
16549,6
136,6
27176,6
29847,6
92729,6
38096,6
85394,6
34764,7
50926,7
51732,7
38260,7
3453,7
65760,7
61334,7
62763,7
8289,7
17826,7
48607,7
19386,7
31051,7
42110,7
53242,7
83805,7
9813,7
33033,7
40921,7
17352,7
3917,7
67944,7
91751,7
74764,7
96383,7
83000,7
65149,7
96530,7
266,7
20754,7
41403,7
13694,7
74638,7
59722,7
93181,7
63193,7
45410,7
57682,7
92915,7
50209,7
2084,7
45246,7
48957,7
41354,7
24324,7
72196,7
52530,7
62310,7
52961,7
45848,7
8118,7
2391,7
31298,7
49025,7
9474,7
96532,7
61940,7
88738,7
24951,7
83026,7
86999,7
23855,7
13661,7
19295,7
12203,7
6119,7
86973,7
90250,7
23159,7
6941,7
2704,7
50586,7
6492,7
75199,7
42455,7
17548,8
37351,8
28248,8
17048,8
21840,8
70960,8
75052,8
46278,8
60962,8
77550,8
25223,8
51011,8
59558,8
44563,8
98914,8
14245,8
38021,8
89852,8
191,8
49032,8
65201,8
92104,8
35661,8
47314,8
56217,8
9861,8
95468,8
31820,8
33636,8
21494,8
8446,8
33316,8
95878,8
59554,8
76060,8
29466,8
68345,8
59170,8
13593,8
77674,8
49762,8
71942,8
99447,8
5857,8
96607,8
3755,8
20905,8
73969,8
57783,8
80267,8
6783,8
36620,8
2714,8
4348,8
3124,8
88906,8
36330,8
64696,8
91684,8
45270,8
46642,8
85474,8
12487,8
15469,8
87330,8
28642,8
74519,8
62109,8
87722,8
90766,8
75999,8
47562,8
38669,8
3923,8
36844,8
15864,8
51624,8
29951,8
7839,8
63570,8
96867,8
97826,8
89879,8
2962,9
13537,9
13296,9
70859,9
13142,9
41410,9
68140,9
83010,9
83860,9
35303,9
48911,9
17540,9
64097,9
572,9
55579,9
28736,9
71548,9
40543,9
60956,9
57795,9
31753,9
69581,9
63021,9
18056,9
12031,9
27182,9
33969,9
40369,9
23715,9
12115,9
13700,9
37919,9
37204,9
6993,9
78713,9
50604,9
45662,9
81341,9
17853,9
68321,9
20688,9
15491,9
15304,9
81543,9
6346,9
6666,9
91144,9
53033,9
77145,9
43456,9
11455,9
27468,9
15505,9
71350,9
78658,9
33543,9
43839,9
42430,9
18543,9
95969,9
48362,9
79117,9
46790,9
94345,9
33491,9
50067,9
74688,9
2739,9
62458,9
75396,9
60928,9
9923,9
723,9
45274,9
93938,10
48516,10
